Time A B
1562334542.732608 0.000000 1.000000
1562334542.733867 0.100000 0.995004
1562334542.735004 0.200000 0.980067
1562334542.736136 0.300000 0.955336
1562334542.737312 0.400000 0.921061
1562334542.738439 0.500000 0.877583
1562334542.739574 0.600000 0.825336
1562334542.740710 0.700000 0.764842
1562334542.741847 0.800000 0.696707
1562334542.742979 0.900000 0.621610
1562334542.744113 1.000000 0.540302
1562334542.745242 1.100000 0.453596
1562334542.746393 1.200000 0.362358
1562334542.747538 1.300000 0.267499
1562334542.748688 1.400000 0.169967
1562334542.749921 1.500000 0.070737
1562334542.751239 1.600000 -0.029200
1562334542.752414 1.700000 -0.128844
1562334542.753591 1.800000 -0.227202
1562334542.754775 1.900000 -0.323290
1562334542.756286 2.000000 -0.416147
1562334542.757526 2.100000 -0.504846
1562334542.758786 2.200000 -0.588501
1562334542.759960 2.300000 -0.666276
1562334542.761103 2.400000 -0.737394
1562334542.762234 2.500000 -0.801144
1562334542.763368 2.600000 -0.856889
1562334542.764501 2.700000 -0.904072
1562334542.765638 2.800000 -0.942222
1562334542.766763 2.900000 -0.970958
1562334542.767895 3.000000 -0.989992
1562334542.769027 3.100000 -0.999135
1562334542.770239 3.200000 -0.998295
1562334542.771429 3.300000 -0.987480
1562334542.772616 3.400000 -0.966798
1562334542.773791 3.500000 -0.936457
1562334542.774968 3.600000 -0.896758
1562334542.776142 3.700000 -0.848100
1562334542.777313 3.800000 -0.790968
1562334542.778485 3.900000 -0.725932
1562334542.779660 4.000000 -0.653644
1562334542.780835 4.100000 -0.574824
1562334542.782006 4.200000 -0.490261
1562334542.783177 4.300000 -0.400799
1562334542.784351 4.400000 -0.307333
1562334542.785556 4.500000 -0.210796
1562334542.786745 4.600000 -0.112153
1562334542.788075 4.700000 -0.012389
1562334542.789317 4.800000 0.087499
1562334542.790495 4.900000 0.186512
1562334542.791673 5.000000 0.283662
